game_num,team_health,team_count,team_avg_health,team_resource,o_team_health,o_team_count,o_team_health_avg,o_team_resource,result,time_ticks
485,0.16666666666666666,1,0.16666666666666666,0,0.0,3,0.0,10,W,397
486,0.6333333333333333,1,0.6333333333333333,0,0.0,3,0.0,10,W,455
487,0.8,1,0.8,2,0.0,3,0.0,9,W,361
488,0.7,1,0.7,0,0.0,3,0.0,7,W,215
489,0.0,1,0.0,1,0.6,3,0.19999999999999998,9,L,567
490,0.7333333333333333,1,0.7333333333333333,2,0.0,3,0.0,9,W,509
491,0.26666666666666666,1,0.26666666666666666,0,0.0,3,0.0,6,W,199
492,0.0,1,0.0,0,0.6666666666666666,3,0.2222222222222222,10,L,377
493,0.7333333333333333,1,0.7333333333333333,10,0.0,3,0.0,3,W,435
494,1.0,1,1.0,0,0.0,3,0.0,10,W,377
495,0.4,1,0.4,1,0.0,3,0.0,9,W,637
496,0.43333333333333335,1,0.43333333333333335,0,0.0,3,0.0,10,W,377
497,0.5333333333333333,1,0.5333333333333333,10,0.0,3,0.0,3,W,329
498,0.7333333333333333,1,0.7333333333333333,2,0.0,3,0.0,8,W,533
499,0.7666666666666667,1,0.7666666666666667,0,0.0,3,0.0,10,W,441
500,0.8333333333333334,1,0.8333333333333334,0,0.0,3,0.0,11,W,255
